OBJECTID,GEOID,B02001e1,B02001m1,B02001e2,B02001m2,B02001e3,B02001m3,B02001e4,B02001m4,B02001e5,B02001m5,B02001e6,B02001m6,B02001e7,B02001m7,B02001e8,B02001m8,B02001e9,B02001m9,B02001e10,B02001m10,B02008e1,B02008m1,B02009e1,B02009m1,B02010e1,B02010m1,B02011e1,B02011m1,B02012e1,B02012m1,B02013e1,B02013m1,B02014e1,B02014m1,B02014e2,B02014m2,B02014e3,B02014m3,B02014e4,B02014m4,B02014e5,B02014m5,B02014e6,B02014m6,B02014e7,B02014m7,B02014e8,B02014m8,B02014e9,B02014m9,B02014e10,B02014m10,B02014e11,B02014m11,B02014e12,B02014m12,B02014e13,B02014m13,B02014e14,B02014m14,B02014e15,B02014m15,B02014e16,B02014m16,B02014e17,B02014m17,B02014e18,B02014m18,B02014e19,B02014m19,B02014e20,B02014m20,B02014e21,B02014m21,B02014e22,B02014m22,B02014e23,B02014m23,B02014e24,B02014m24,B02014e25,B02014m25,B02014e26,B02014m26,B02014e27,B02014m27,B02014e28,B02014m28,B02014e29,B02014m29,B02014e30,B02014m30,B02014e31,B02014m31,B02014e32,B02014m32,B02014e33,B02014m33,B02014e34,B02014m34,B02014e35,B02014m35,B02014e36,B02014m36,B02014e37,B02014m37,B02014e38,B02014m38,B02014e39,B02014m39,B02014e40,B02014m40,B02014e41,B02014m41,B02014e42,B02014m42,B02014e43,B02014m43,B02014e44,B02014m44,B02014e45,B02014m45,B02014e46,B02014m46,B02014e47,B02014m47,B02014e48,B02014m48,B02014e49,B02014m49,B02014e50,B02014m50,B02014e51,B02014m51,B02014e52,B02014m52,B02014e53,B02014m53,B02014e54,B02014m54,B02014e55,B02014m55,B02015e1,B02015m1,B02015e2,B02015m2,B02015e3,B02015m3,B02015e4,B02015m4,B02015e5,B02015m5,B02015e6,B02015m6,B02015e7,B02015m7,B02015e8,B02015m8,B02015e9,B02015m9,B02015e10,B02015m10,B02015e11,B02015m11,B02015e12,B02015m12,B02015e13,B02015m13,B02015e14,B02015m14,B02015e15,B02015m15,B02015e16,B02015m16,B02015e17,B02015m17,B02015e18,B02015m18,B02015e19,B02015m19,B02015e20,B02015m20,B02015e21,B02015m21,B02015e22,B02015m22,B02015e23,B02015m23,B02015e24,B02015m24,B02015e25,B02015m25,B02016e1,B02016m1,B02016e2,B02016m2,B02016e3,B02016m3,B02016e4,B02016m4,B02016e5,B02016m5,B02016e6,B02016m6,B02016e7,B02016m7,B02016e8,B02016m8,B02016e9,B02016m9,B02016e10,B02016m10,B02016e11,B02016m11,B02016e12,B02016m12,B02017e1,B02017m1,B02017e2,B02017m2,B02017e3,B02017m3,B02017e4,B02017m4,B02017e5,B02017m5,B02017e6,B02017m6,B02017e7,B02017m7,B02017e8,B02017m8,B02017e9,B02017m9,B02017e10,B02017m10,B02017e11,B02017m11,B02017e12,B02017m12,B02017e13,B02017m13,B02017e14,B02017m14,B02017e15,B02017m15,B02017e16,B02017m16,B02017e17,B02017m17,B02017e18,B02017m18,B02017e19,B02017m19,B02017e20,B02017m20,B02017e21,B02017m21,B02017e22,B02017m22,B02017e23,B02017m23,B02017e24,B02017m24,B02017e25,B02017m25,B02017e26,B02017m26,B02017e27,B02017m27,B02017e28,B02017m28,B02017e29,B02017m29,B02017e30,B02017m30,B02017e31,B02017m31,B02017e32,B02017m32,B02017e33,B02017m33,B02017e34,B02017m34,B02017e35,B02017m35,B02017e36,B02017m36,B02017e37,B02017m37,B02017e38,B02017m38,B02017e39,B02017m39,B02017e40,B02017m40,B02017e41,B02017m41,B02017e42,B02017m42,B02017e43,B02017m43,B02017e44,B02017m44,B02017e45,B02017m45,B02017e46,B02017m46,B02017e47,B02017m47,B02017e48,B02017m48,B02017e49,B02017m49,B02017e50,B02017m50,B02017e51,B02017m51,B02017e52,B02017m52,B02017e53,B02017m53,B02017e54,B02017m54,B02018e1,B02018m1,B02018e2,B02018m2,B02018e3,B02018m3,B02018e4,B02018m4,B02018e5,B02018m5,B02018e6,B02018m6,B02018e7,B02018m7,B02018e8,B02018m8,B02018e9,B02018m9,B02018e10,B02018m10,B02018e11,B02018m11,B02018e12,B02018m12,B02018e13,B02018m13,B02018e14,B02018m14,B02018e15,B02018m15,B02018e16,B02018m16,B02018e17,B02018m17,B02018e18,B02018m18,B02018e19,B02018m19,B02018e20,B02018m20,B02018e21,B02018m21,B02018e22,B02018m22,B02018e23,B02018m23,B02018e24,B02018m24,B02019e1,B02019m1,B02019e2,B02019m2,B02019e3,B02019m3,B02019e4,B02019m4,B02019e5,B02019m5,B02019e6,B02019m6,B02019e7,B02019m7,B02019e8,B02019m8,B02019e9,B02019m9,B02019e10,B02019m10,B02019e11,B02019m11,C02003e1,C02003m1,C02003e2,C02003m2,C02003e3,C02003m3,C02003e4,C02003m4,C02003e5,C02003m5,C02003e6,C02003m6,C02003e7,C02003m7,C02003e8,C02003m8,C02003e9,C02003m9,C02003e10,C02003m10,C02003e11,C02003m11,C02003e12,C02003m12,C02003e13,C02003m13,C02003e14,C02003m14,C02003e15,C02003m15,C02003e16,C02003m16,C02003e17,C02003m17,C02003e18,C02003m18,C02003e19,C02003m19
1265,06000US5509528725,1023,105,903,95,0,9,88,47,0,9,0,9,8,9,24,23,0,9,24,23,908,96,24,23,107,49,0,9,0,9,13,12,88,47,81,47,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,66,33,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,15,24,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,7,6,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,107,49,81,47,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,66,33,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,15,24,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,26,23,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1023,105,999,106,903,95,0,9,88,47,0,9,0,9,8,9,24,23,0,9,24,23,19,22,0,9,0,9,0,9,19,22,0,9,5,8,0,9
1266,06000US5509538400,518,77,372,61,0,9,118,37,16,22,0,9,9,16,3,4,3,4,0,9,375,61,0,9,118,37,16,22,0,9,12,16,118,37,94,37,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,84,36,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,4,0,9,0,9,0,9,0,9,0,9,8,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,16,22,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,8,11,0,9,16,22,14,22,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,118,37,94,37,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,84,36,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,4,0,9,0,9,0,9,0,9,0,9,8,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,16,22,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,8,11,16,22,14,22,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,518,77,515,77,372,61,0,9,118,37,16,22,0,9,9,16,3,4,3,4,0,9,3,4,0,9,0,9,0,9,0,9,3,4,0,9,0,9
1267,06000US5509541900,969,137,938,129,0,9,0,9,23,28,0,9,0,9,8,9,0,9,8,9,946,128,0,9,0,9,31,32,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,23,28,0,9,0,9,0,9,0,9,0,9,20,28,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,31,32,0,9,0,9,0,9,0,9,0,9,20,28,11,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,969,137,961,137,938,129,0,9,0,9,23,28,0,9,0,9,8,9,0,9,8,9,8,9,0,9,0,9,8,9,0,9,0,9,0,9,0,9
1268,06000US5509544475,2254,205,2245,203,6,9,0,9,0,9,0,9,0,9,3,5,0,9,3,5,2248,204,9,12,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2254,205,2251,204,2245,203,6,9,0,9,0,9,0,9,0,9,3,5,0,9,3,5,3,5,3,5,0,9,0,9,0,9,0,9,0,9,0,9
1269,06000US5509545775,305,51,284,48,0,9,3,3,4,8,0,9,0,9,14,17,0,9,14,17,298,51,0,9,17,19,4,8,0,9,0,9,3,3,1,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1,3,0,9,2,3,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,8,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,8,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,17,19,1,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1,3,0,9,2,3,2,3,0,9,0,9,0,9,0,9,0,9,0,9,14,17,4,8,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,8,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,305,51,291,47,284,48,0,9,3,3,4,8,0,9,0,9,14,17,0,9,14,17,14,17,0,9,14,17,0,9,0,9,0,9,0,9,0,9
1270,06000US5509546200,1067,176,1043,174,10,15,4,5,0,9,0,9,0,9,10,17,0,9,10,17,1053,175,17,23,11,17,3,4,0,9,0,9,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,11,17,7,17,0,9,0,9,0,9,0,9,0,9,7,17,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,5,3,4,0,9,0,9,0,9,0,9,0,9,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1067,176,1057,175,1043,174,10,15,4,5,0,9,0,9,0,9,10,17,0,9,10,17,3,4,0,9,0,9,3,4,0,9,0,9,7,17,0,9
1271,06000US5509546225,913,104,894,101,5,6,3,4,3,4,0,9,0,9,8,10,0,9,8,10,902,103,5,6,11,11,3,4,0,9,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,4,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,2,3,0,9,0,9,1,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,11,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,11,11,3,4,0,9,0,9,0,9,0,9,0,9,0,9,2,3,0,9,0,9,1,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,913,104,905,103,894,101,5,6,3,4,3,4,0,9,0,9,8,10,0,9,8,10,8,10,0,9,8,10,0,9,0,9,0,9,0,9,0,9
1272,06000US5509546900,322,54,309,50,0,9,3,5,2,3,0,9,0,9,8,10,0,9,8,10,317,52,0,9,11,14,2,3,0,9,0,9,3,5,3,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,0,9,0,9,0,9,0,9,0,9,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,11,14,11,14,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,11,14,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2,3,0,9,0,9,0,9,0,9,0,9,2,3,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,322,54,314,51,309,50,0,9,3,5,2,3,0,9,0,9,8,10,0,9,8,10,8,10,0,9,8,10,0,9,0,9,0,9,0,9,0,9
1273,06000US5509552075,1103,160,1059,160,0,9,9,9,12,11,0,9,2,3,21,15,0,9,21,15,1080,160,0,9,22,13,20,16,0,9,2,3,9,9,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,5,7,0,9,12,11,0,9,0,9,0,9,0,9,0,9,0,9,12,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,22,13,15,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,11,10,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,5,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,7,8,20,16,0,9,0,9,0,9,0,9,0,9,0,9,20,16,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1103,160,1082,160,1059,160,0,9,9,9,12,11,0,9,2,3,21,15,0,9,21,15,21,15,0,9,13,10,8,11,0,9,0,9,0,9,0,9
1274,06000US5509552100,1322,123,1311,122,0,9,3,4,3,4,0,9,0,9,5,6,0,9,5,6,1316,124,0,9,8,7,3,4,0,9,0,9,3,4,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,8,7,8,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,8,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,3,4,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,1322,123,1317,122,1311,122,0,9,3,4,3,4,0,9,0,9,5,6,0,9,5,6,5,6,0,9,5,6,0,9,0,9,0,9,0,9,0,9
1275,06000US5509560450,2524,20,2381,99,13,18,0,9,89,89,0,9,36,48,5,8,5,8,0,9,2386,99,13,18,0,9,89,89,0,9,41,48,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,89,89,10,14,0,9,0,9,0,9,0,9,75,93,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,89,89,10,14,0,9,0,9,0,9,0,9,75,93,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,4,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2524,20,2519,22,2381,99,13,18,0,9,89,89,0,9,36,48,5,8,5,8,0,9,5,8,0,9,0,9,0,9,0,9,5,8,0,9,0,9
1276,06000US5509560475,2832,42,2797,55,0,9,0,9,9,9,0,9,0,9,26,19,0,9,26,19,2823,44,6,9,11,11,18,21,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,9,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,9,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,11,11,11,11,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,5,7,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,6,8,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,18,21,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,18,21,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,0,9,2832,42,2806,52,2797,55,0,9,0,9,9,9,0,9,0,9,26,19,0,9,26,19,26,19,6,9,11,11,9,13,0,9,0,9,0,9,0,9
